name,nTrees,maxFeatures,trainTime,accuracy,precision,recall,f1score,kappa
CENARIO_1,8,sqrt,0.006,0.95,0.919,0.933,0.926,0.852
CENARIO_1,16,sqrt,0.01,0.95,0.919,0.933,0.926,0.852
CENARIO_1,32,sqrt,0.019,0.963,0.947,0.942,0.944,0.889
CENARIO_1,64,sqrt,0.036,0.963,0.952,0.936,0.944,0.888
CENARIO_1,128,sqrt,0.065,0.963,0.947,0.942,0.944,0.889
CENARIO_1,256,sqrt,0.129,0.963,0.947,0.942,0.944,0.889
CENARIO_1,512,sqrt,0.256,0.963,0.947,0.942,0.944,0.889
CENARIO_1,1024,sqrt,0.501,0.963,0.947,0.942,0.944,0.889
CENARIO_2,8,sqrt,0.006,0.97,0.957,0.952,0.955,0.909
CENARIO_2,16,sqrt,0.01,0.973,0.965,0.954,0.959,0.919
CENARIO_2,32,sqrt,0.018,0.983,0.99,0.96,0.974,0.948
CENARIO_2,64,sqrt,0.034,0.98,0.988,0.952,0.969,0.938
CENARIO_2,128,sqrt,0.065,0.977,0.986,0.944,0.963,0.927
CENARIO_2,256,sqrt,0.13,0.977,0.986,0.944,0.963,0.927
CENARIO_2,512,sqrt,0.248,0.98,0.988,0.952,0.969,0.938
CENARIO_2,1024,sqrt,0.539,0.983,0.99,0.96,0.974,0.948
CENARIO_3,8,sqrt,0.006,0.907,0.847,0.912,0.872,0.745
CENARIO_3,16,sqrt,0.011,0.93,0.881,0.927,0.901,0.802
CENARIO_3,32,sqrt,0.019,0.93,0.881,0.927,0.901,0.802
CENARIO_3,64,sqrt,0.035,0.957,0.929,0.943,0.936,0.872
CENARIO_3,128,sqrt,0.072,0.963,0.943,0.948,0.945,0.89
CENARIO_3,256,sqrt,0.132,0.963,0.943,0.948,0.945,0.89
CENARIO_3,512,sqrt,0.263,0.963,0.943,0.948,0.945,0.89
CENARIO_3,1024,sqrt,0.522,0.963,0.943,0.948,0.945,0.89
CENARIO_4,8,sqrt,0.006,0.55,0.648,0.704,0.541,0.231
CENARIO_4,16,sqrt,0.01,0.557,0.65,0.708,0.546,0.237
CENARIO_4,32,sqrt,0.018,0.547,0.647,0.701,0.538,0.228
CENARIO_4,64,sqrt,0.036,0.543,0.652,0.705,0.535,0.23
CENARIO_4,128,sqrt,0.066,0.57,0.653,0.716,0.558,0.25
CENARIO_4,256,sqrt,0.132,0.57,0.653,0.716,0.558,0.25
CENARIO_4,512,sqrt,0.251,0.577,0.655,0.72,0.564,0.257
CENARIO_4,1024,sqrt,0.509,0.563,0.651,0.712,0.552,0.244
CENARIO_5,8,sqrt,0.006,0.583,0.662,0.73,0.571,0.268
CENARIO_5,16,sqrt,0.014,0.647,0.682,0.771,0.626,0.337
CENARIO_5,32,sqrt,0.019,0.6,0.667,0.741,0.586,0.286
CENARIO_5,64,sqrt,0.036,0.533,0.649,0.699,0.527,0.22
CENARIO_5,128,sqrt,0.066,0.557,0.655,0.714,0.547,0.242
CENARIO_5,256,sqrt,0.129,0.563,0.657,0.718,0.553,0.249
CENARIO_5,512,sqrt,0.252,0.58,0.661,0.728,0.568,0.265
CENARIO_5,1024,sqrt,0.509,0.59,0.664,0.735,0.577,0.275
CENARIO_6,8,sqrt,0.006,0.73,0.712,0.817,0.698,0.438
CENARIO_6,16,sqrt,0.01,0.71,0.702,0.805,0.681,0.411
CENARIO_6,32,sqrt,0.057,0.663,0.683,0.775,0.64,0.352
CENARIO_6,64,sqrt,0.035,0.67,0.686,0.779,0.645,0.36
CENARIO_6,128,sqrt,0.069,0.643,0.672,0.757,0.621,0.323
CENARIO_6,256,sqrt,0.128,0.643,0.672,0.757,0.621,0.323
CENARIO_6,512,sqrt,0.266,0.637,0.67,0.753,0.615,0.316
CENARIO_6,1024,sqrt,0.513,0.613,0.662,0.738,0.595,0.29
